scenario,priority_type,priority_growth_rate,capacity,vaccination,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,0,FALSE,FALSE,0,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,4,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,3,0,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,1,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,2,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,0,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,2,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,2,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,0,2,5
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,TRUE,1,0,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,1,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,1,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,TRUE,0,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,TRUE,3,2,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,1,1,5
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,1,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,1,0,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,1,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,2,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,TRUE,1,1,5
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,1,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,3,0,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,2,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,2,1,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,2,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,TRUE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,2,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,4,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,2,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,0,1,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,0,2,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,1,2,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,1,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,2,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,TRUE,2,2,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,9,FALSE,FALSE,2,2,5
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,0,FALSE,FALSE,0,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,TRUE,1,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,2,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,2,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,4,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,1,2,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,2,3,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,0,2,5
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,3,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,FALSE,1,2,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,3,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,1,2,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,0,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,3,1,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,2,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,7,FALSE,FALSE,2,1,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,1,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,TRUE,2,2,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,1,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,0,3,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,0,2,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,3,FALSE,FALSE,2,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,8,FALSE,FALSE,3,2,3
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,0,0,4
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,5,FALSE,FALSE,3,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,4,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,FALSE,1,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,6,FALSE,TRUE,0,4,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,1,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,4,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,2,2,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,2,1,1
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,1,FALSE,FALSE,0,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,4,FALSE,FALSE,1,1,2
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,0,FALSE,FALSE,0,0,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,TRUE,0,0,Inf
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,2,FALSE,TRUE,1,1,0
optimal_random_delay_poisson1_capacity50pc_max_5d_casesvaccinated30pc,random,delay_poisson1,capacity50pc,casesvaccinated30pc,max_5d,0.5,Inf,FALSE,FALSE,0,1,Inf
